1610125095.289879;Aggregator started
1610125201.175599;m3-86;Data received on port 1234 from port 1234 with length 10
1610125201.175892;m3-90;Data received on port 1234 from port 1234 with length 10
1610125201.197674;m3-85;Data received on port 1234 from port 1234 with length 10
1610125201.198199;m3-80;Data received on port 1234 from port 1234 with length 10
1610125201.202417;m3-89;Data received on port 1234 from port 1234 with length 10
1610125201.587432;m3-85;Sending broadcast
1610125201.598444;m3-84;Data received on port 1234 from port 1234 with length 10
1610125201.598801;m3-87;Data received on port 1234 from port 1234 with length 10
1610125201.599071;m3-86;Data received on port 1234 from port 1234 with length 10
1610125201.599253;m3-81;Data received on port 1234 from port 1234 with length 10
1610125201.605160;m3-90;Data received on port 1234 from port 1234 with length 10
1610125201.605523;m3-89;Data received on port 1234 from port 1234 with length 10
1610125201.617901;m3-80;Data received on port 1234 from port 1234 with length 10
1610125201.630277;m3-82;Data received on port 1234 from port 1234 with length 10
1610125202.123375;m3-82;Sending broadcast
1610125202.133561;m3-88;Data received on port 1234 from port 1234 with length 10
1610125202.134053;m3-80;Data received on port 1234 from port 1234 with length 10
1610125202.134396;m3-89;Data received on port 1234 from port 1234 with length 10
1610125202.134655;m3-90;Data received on port 1234 from port 1234 with length 10
1610125202.140388;m3-81;Data received on port 1234 from port 1234 with length 10
1610125202.141255;m3-84;Data received on port 1234 from port 1234 with length 10
1610125202.141553;m3-83;Data received on port 1234 from port 1234 with length 10
1610125202.142437;m3-87;Data received on port 1234 from port 1234 with length 10
1610125202.142705;m3-86;Data received on port 1234 from port 1234 with length 10
1610125202.161133;m3-87;Sending broadcast
1610125202.180058;m3-85;Data received on port 1234 from port 1234 with length 10
1610125202.181937;m3-82;Data received on port 1234 from port 1234 with length 10
1610125202.194661;m3-83;Data received on port 1234 from port 1234 with length 10
1610125202.196223;m3-84;Data received on port 1234 from port 1234 with length 10
1610125202.196771;m3-80;Data received on port 1234 from port 1234 with length 10
1610125202.198131;m3-81;Data received on port 1234 from port 1234 with length 10
1610125202.198539;m3-88;Data received on port 1234 from port 1234 with length 10
1610125202.199379;m3-90;Data received on port 1234 from port 1234 with length 10
1610125202.202383;m3-89;Data received on port 1234 from port 1234 with length 10
1610125202.205546;m3-86;Data received on port 1234 from port 1234 with length 10
1610125204.268576;m3-89;Sending broadcast
1610125204.279732;m3-87;Data received on port 1234 from port 1234 with length 10
1610125204.280046;m3-88;Data received on port 1234 from port 1234 with length 10
1610125204.280343;m3-85;Data received on port 1234 from port 1234 with length 10
1610125204.280528;m3-80;Data received on port 1234 from port 1234 with length 10
1610125204.287033;m3-86;Data received on port 1234 from port 1234 with length 10
1610125204.287390;m3-81;Data received on port 1234 from port 1234 with length 10
1610125204.287591;m3-83;Data received on port 1234 from port 1234 with length 10
1610125204.287843;m3-90;Data received on port 1234 from port 1234 with length 10
1610125204.288497;m3-84;Data received on port 1234 from port 1234 with length 10
1610125208.570203;m3-90;Sending broadcast
1610125208.581056;m3-83;Data received on port 1234 from port 1234 with length 10
1610125208.581433;m3-87;Data received on port 1234 from port 1234 with length 10
1610125208.581771;m3-88;Data received on port 1234 from port 1234 with length 10
1610125208.588960;m3-81;Data received on port 1234 from port 1234 with length 10
1610125208.589269;m3-89;Data received on port 1234 from port 1234 with length 10
1610125208.589563;m3-84;Data received on port 1234 from port 1234 with length 10
1610125208.589878;m3-85;Data received on port 1234 from port 1234 with length 10
1610125208.611185;m3-80;Data received on port 1234 from port 1234 with length 10
1610125208.853577;m3-88;Sending broadcast
1610125208.864055;m3-81;Data received on port 1234 from port 1234 with length 10
1610125208.864886;m3-90;Data received on port 1234 from port 1234 with length 10
1610125208.865174;m3-83;Data received on port 1234 from port 1234 with length 10
1610125208.865678;m3-82;Data received on port 1234 from port 1234 with length 10
1610125208.870416;m3-86;Data received on port 1234 from port 1234 with length 10
1610125208.874874;m3-89;Data received on port 1234 from port 1234 with length 10
1610125208.884884;m3-85;Data received on port 1234 from port 1234 with length 10
1610125209.077435;m3-85;Sending broadcast
1610125209.089141;m3-87;Data received on port 1234 from port 1234 with length 10
1610125209.089596;m3-83;Data received on port 1234 from port 1234 with length 10
1610125209.089842;m3-88;Data received on port 1234 from port 1234 with length 10
1610125209.090018;m3-89;Data received on port 1234 from port 1234 with length 10
1610125209.090515;m3-81;Data received on port 1234 from port 1234 with length 10
1610125209.090706;m3-82;Data received on port 1234 from port 1234 with length 10
1610125209.091926;m3-90;Data received on port 1234 from port 1234 with length 10
1610125209.096028;m3-84;Data received on port 1234 from port 1234 with length 10
1610125209.096601;m3-86;Data received on port 1234 from port 1234 with length 10
1610125209.109043;m3-80;Data received on port 1234 from port 1234 with length 10
1610125212.216637;m3-86;Sending broadcast
1610125212.227379;m3-80;Data received on port 1234 from port 1234 with length 10
1610125212.235493;m3-82;Data received on port 1234 from port 1234 with length 10
1610125212.239694;m3-89;Data received on port 1234 from port 1234 with length 10
1610125212.240759;m3-87;Data received on port 1234 from port 1234 with length 10
1610125212.241690;m3-84;Data received on port 1234 from port 1234 with length 10
1610125212.243531;m3-81;Data received on port 1234 from port 1234 with length 10
1610125212.255425;m3-90;Data received on port 1234 from port 1234 with length 10
1610125212.780091;m3-89;Sending broadcast
1610125212.789004;m3-88;Data received on port 1234 from port 1234 with length 10
1610125212.789743;m3-83;Data received on port 1234 from port 1234 with length 10
1610125212.790564;m3-85;Data received on port 1234 from port 1234 with length 10
1610125212.796322;m3-90;Data received on port 1234 from port 1234 with length 10
1610125212.797086;m3-87;Data received on port 1234 from port 1234 with length 10
1610125212.797304;m3-80;Data received on port 1234 from port 1234 with length 10
1610125212.797500;m3-81;Data received on port 1234 from port 1234 with length 10
1610125212.797777;m3-84;Data received on port 1234 from port 1234 with length 10
1610125212.807577;m3-86;Data received on port 1234 from port 1234 with length 10
1610125213.830157;m3-80;Sending broadcast
1610125213.918855;m3-83;Data received on port 1234 from port 1234 with length 10
1610125213.919342;m3-82;Data received on port 1234 from port 1234 with length 10
1610125213.919753;m3-81;Data received on port 1234 from port 1234 with length 10
1610125213.920019;m3-86;Data received on port 1234 from port 1234 with length 10
1610125213.926763;m3-88;Data received on port 1234 from port 1234 with length 10
1610125213.927132;m3-85;Data received on port 1234 from port 1234 with length 10
1610125213.928324;m3-89;Data received on port 1234 from port 1234 with length 10
1610125213.929085;m3-84;Data received on port 1234 from port 1234 with length 10
1610125214.236469;m3-84;Sending broadcast
1610125214.244769;m3-85;Data received on port 1234 from port 1234 with length 10
1610125214.245511;m3-80;Data received on port 1234 from port 1234 with length 10
1610125214.246557;m3-83;Data received on port 1234 from port 1234 with length 10
1610125214.247412;m3-82;Data received on port 1234 from port 1234 with length 10
1610125214.252085;m3-88;Data received on port 1234 from port 1234 with length 10
1610125214.257022;m3-87;Data received on port 1234 from port 1234 with length 10
1610125214.258701;m3-89;Data received on port 1234 from port 1234 with length 10
1610125214.259322;m3-86;Data received on port 1234 from port 1234 with length 10
1610125214.272183;m3-81;Data received on port 1234 from port 1234 with length 10
1610125214.750099;m3-83;Sending broadcast
1610125214.757699;m3-89;Data received on port 1234 from port 1234 with length 10
1610125214.758078;m3-85;Data received on port 1234 from port 1234 with length 10
1610125214.758280;m3-86;Data received on port 1234 from port 1234 with length 10
1610125214.758526;m3-80;Data received on port 1234 from port 1234 with length 10
1610125214.760497;m3-87;Data received on port 1234 from port 1234 with length 10
1610125214.760889;m3-81;Data received on port 1234 from port 1234 with length 10
1610125214.768200;m3-88;Data received on port 1234 from port 1234 with length 10
1610125214.777882;m3-82;Data received on port 1234 from port 1234 with length 10
1610125214.790698;m3-84;Data received on port 1234 from port 1234 with length 10
1610125215.003253;m3-82;Sending broadcast
1610125215.013757;m3-81;Data received on port 1234 from port 1234 with length 10
1610125215.014052;m3-83;Data received on port 1234 from port 1234 with length 10
1610125215.014736;m3-86;Data received on port 1234 from port 1234 with length 10
1610125215.020572;m3-87;Data received on port 1234 from port 1234 with length 10
1610125215.020941;m3-88;Data received on port 1234 from port 1234 with length 10
1610125215.021953;m3-80;Data received on port 1234 from port 1234 with length 10
1610125215.022525;m3-90;Data received on port 1234 from port 1234 with length 10
1610125215.025025;m3-84;Data received on port 1234 from port 1234 with length 10
1610125215.028922;m3-89;Data received on port 1234 from port 1234 with length 10
1610125215.041118;m3-85;Data received on port 1234 from port 1234 with length 10
1610125215.201131;m3-87;Sending broadcast
1610125215.211268;m3-81;Data received on port 1234 from port 1234 with length 10
1610125215.211644;m3-85;Data received on port 1234 from port 1234 with length 10
1610125215.211915;m3-80;Data received on port 1234 from port 1234 with length 10
1610125215.212166;m3-90;Data received on port 1234 from port 1234 with length 10
1610125215.216320;m3-89;Data received on port 1234 from port 1234 with length 10
1610125215.216691;m3-83;Data received on port 1234 from port 1234 with length 10
1610125215.222005;m3-88;Data received on port 1234 from port 1234 with length 10
1610125215.226427;m3-84;Data received on port 1234 from port 1234 with length 10
1610125215.226798;m3-86;Data received on port 1234 from port 1234 with length 10
1610125215.229337;m3-82;Data received on port 1234 from port 1234 with length 10
1610125215.404352;m3-81;Sending broadcast
1610125215.414685;m3-80;Data received on port 1234 from port 1234 with length 10
1610125215.415501;m3-85;Data received on port 1234 from port 1234 with length 10
1610125215.419835;m3-83;Data received on port 1234 from port 1234 with length 10
1610125215.422821;m3-82;Data received on port 1234 from port 1234 with length 10
1610125215.423701;m3-89;Data received on port 1234 from port 1234 with length 10
1610125215.424671;m3-88;Data received on port 1234 from port 1234 with length 10
1610125215.425880;m3-90;Data received on port 1234 from port 1234 with length 10
1610125215.429728;m3-86;Data received on port 1234 from port 1234 with length 10
1610125215.430086;m3-84;Data received on port 1234 from port 1234 with length 10
1610125217.151168;m3-87;Sending broadcast
1610125217.162132;m3-86;Data received on port 1234 from port 1234 with length 10
1610125217.169597;m3-89;Data received on port 1234 from port 1234 with length 10
1610125217.173296;m3-85;Data received on port 1234 from port 1234 with length 10
1610125217.177172;m3-83;Data received on port 1234 from port 1234 with length 10
1610125217.178706;m3-80;Data received on port 1234 from port 1234 with length 10
1610125217.180066;m3-84;Data received on port 1234 from port 1234 with length 10
1610125217.183150;m3-88;Data received on port 1234 from port 1234 with length 10
1610125217.784812;m3-81;Sending broadcast
1610125217.788332;m3-86;Sending broadcast
1610125217.795159;m3-82;Data received on port 1234 from port 1234 with length 10
1610125217.795519;m3-87;Data received on port 1234 from port 1234 with length 10
1610125217.795786;m3-80;Data received on port 1234 from port 1234 with length 10
1610125217.796663;m3-90;Data received on port 1234 from port 1234 with length 10
1610125217.796930;m3-89;Data received on port 1234 from port 1234 with length 10
1610125217.802446;m3-83;Data received on port 1234 from port 1234 with length 10
1610125217.805875;m3-84;Data received on port 1234 from port 1234 with length 10
1610125217.806266;m3-85;Data received on port 1234 from port 1234 with length 10
1610125217.808959;m3-86;Data received on port 1234 from port 1234 with length 10
1610125217.813769;m3-88;Data received on port 1234 from port 1234 with length 10
1610125217.866716;m3-80;Data received on port 1234 from port 1234 with length 10
1610125217.867092;m3-90;Data received on port 1234 from port 1234 with length 10
1610125217.867294;m3-88;Data received on port 1234 from port 1234 with length 10
1610125217.867547;m3-87;Data received on port 1234 from port 1234 with length 10
1610125217.867722;m3-81;Data received on port 1234 from port 1234 with length 10
1610125217.867884;m3-82;Data received on port 1234 from port 1234 with length 10
1610125217.868115;m3-84;Data received on port 1234 from port 1234 with length 10
1610125217.873500;m3-89;Data received on port 1234 from port 1234 with length 10
1610125217.874732;m3-83;Data received on port 1234 from port 1234 with length 10
1610125217.883008;m3-85;Data received on port 1234 from port 1234 with length 10
1610125218.041033;m3-81;Connection closed
1610125218.041821;m3-83;Connection closed
1610125218.042225;m3-89;Connection closed
1610125218.044167;m3-88;Sending broadcast
1610125218.053187;m3-85;Connection closed
1610125218.059990;m3-88;Connection closed
1610125218.060884;m3-82;Data received on port 1234 from port 1234 with length 10
1610125218.061883;m3-80;Data received on port 1234 from port 1234 with length 10
1610125218.070728;m3-84;Data received on port 1234 from port 1234 with length 10
1610125218.074103;m3-90;Data received on port 1234 from port 1234 with length 10
1610125218.083902;m3-87;Data received on port 1234 from port 1234 with length 10
1610125218.095631;m3-82;Connection closed
1610125218.166785;m3-87;Connection closed
1610125218.176597;m3-86;Connection closed
1610125218.178731;m3-90;Connection closed
1610125218.188413;m3-84;Connection closed
1610125218.219459;m3-80;Connection closed
1610125218.219833;Loop finished, all connection closed
1610125218.220380;Stopping
